example_id                            | status | run_time        |
------------------------------------- | ------ | --------------- |
./spec/bishop_spec.rb[1:1:1]          | passed | 0.00005 seconds |
./spec/bishop_spec.rb[1:1:2]          | passed | 0.00007 seconds |
./spec/bishop_spec.rb[1:1:3]          | passed | 0.00098 seconds |
./spec/board_spec.rb[1:1:1]           | passed | 0.00029 seconds |
./spec/board_spec.rb[1:1:2:1]         | passed | 0.00023 seconds |
./spec/board_spec.rb[1:2:1]           | passed | 0.00003 seconds |
./spec/board_spec.rb[1:2:2]           | passed | 0.00002 seconds |
./spec/board_spec.rb[1:3:1]           | passed | 0.00025 seconds |
./spec/board_spec.rb[1:3:2]           | passed | 0.00041 seconds |
./spec/board_spec.rb[1:4:1]           | passed | 0.00004 seconds |
./spec/board_spec.rb[1:5:1]           | passed | 0.00004 seconds |
./spec/castling_spec.rb[1:1:1]        | passed | 0.00029 seconds |
./spec/castling_spec.rb[1:1:2]        | passed | 0.00108 seconds |
./spec/castling_spec.rb[1:1:3]        | passed | 0.00009 seconds |
./spec/castling_spec.rb[1:1:4]        | passed | 0.00012 seconds |
./spec/castling_spec.rb[1:2:1]        | passed | 0.00028 seconds |
./spec/clock_spec.rb[1:1:1]           | passed | 0.00002 seconds |
./spec/clock_spec.rb[1:1:2]           | passed | 0.00002 seconds |
./spec/clock_spec.rb[1:2:1]           | passed | 0.1055 seconds  |
./spec/clock_spec.rb[1:2:2]           | passed | 0.10048 seconds |
./spec/clock_spec.rb[1:2:3]           | passed | 0.10444 seconds |
./spec/clock_spec.rb[1:3:1]           | passed | 0.00007 seconds |
./spec/clock_spec.rb[1:3:2]           | passed | 0.10512 seconds |
./spec/clock_spec.rb[1:4:1]           | passed | 0.00003 seconds |
./spec/clock_spec.rb[1:4:2]           | passed | 0.10519 seconds |
./spec/clock_spec.rb[1:5:1]           | passed | 0.00002 seconds |
./spec/clock_spec.rb[1:5:2]           | passed | 0.00003 seconds |
./spec/clock_spec.rb[1:5:3]           | passed | 0.00002 seconds |
./spec/clock_spec.rb[1:6:1]           | passed | 0.00003 seconds |
./spec/clock_spec.rb[1:7:1]           | passed | 0.00002 seconds |
./spec/clock_spec.rb[1:7:2]           | passed | 0.00002 seconds |
./spec/clock_spec.rb[1:8:1]           | passed | 0.00002 seconds |
./spec/clock_spec.rb[1:8:2]           | passed | 0.00003 seconds |
./spec/draw_conditions_spec.rb[1:1:1] | passed | 0.00505 seconds |
./spec/draw_conditions_spec.rb[1:2:1] | passed | 0.00048 seconds |
./spec/draw_conditions_spec.rb[1:2:2] | passed | 0.00004 seconds |
./spec/draw_conditions_spec.rb[1:2:3] | passed | 0.00005 seconds |
./spec/draw_conditions_spec.rb[1:2:4] | passed | 0.00004 seconds |
./spec/en_passant_spec.rb[1:1]        | passed | 0.00133 seconds |
./spec/en_passant_spec.rb[1:2]        | passed | 0.00153 seconds |
./spec/fen_spec.rb[1:1:1]             | passed | 0.0002 seconds  |
./spec/fen_spec.rb[1:1:2]             | passed | 0.00303 seconds |
./spec/fen_spec.rb[1:1:3]             | passed | 0.00508 seconds |
./spec/fen_spec.rb[1:1:4]             | passed | 0.00438 seconds |
./spec/fen_spec.rb[1:1:5]             | passed | 0.0044 seconds  |
./spec/fen_spec.rb[1:2:1]             | passed | 0.00007 seconds |
./spec/fen_spec.rb[1:2:2]             | passed | 0.00007 seconds |
./spec/fen_spec.rb[1:2:3]             | passed | 0.00012 seconds |
./spec/fen_spec.rb[1:2:4]             | passed | 0.00007 seconds |
./spec/fen_spec.rb[1:2:5]             | passed | 0.00006 seconds |
./spec/fen_spec.rb[1:2:6]             | passed | 0.00004 seconds |
./spec/fen_spec.rb[1:2:7]             | passed | 0.00004 seconds |
./spec/fen_spec.rb[1:2:8]             | passed | 0.00004 seconds |
./spec/fen_spec.rb[1:2:9]             | passed | 0.00005 seconds |
./spec/fen_spec.rb[1:2:10]            | passed | 0.00007 seconds |
./spec/fen_spec.rb[1:2:11]            | passed | 0.00007 seconds |
./spec/fen_spec.rb[1:2:12]            | passed | 0.00109 seconds |
./spec/fen_spec.rb[1:3:1]             | passed | 0.00014 seconds |
./spec/game_spec.rb[1:1:1]            | passed | 0.00003 seconds |
./spec/game_spec.rb[1:1:2]            | passed | 0.00003 seconds |
./spec/game_spec.rb[1:2:1]            | passed | 0.00034 seconds |
./spec/game_spec.rb[1:2:2]            | passed | 0.00015 seconds |
./spec/game_spec.rb[1:2:3]            | passed | 0.00031 seconds |
./spec/game_spec.rb[1:2:4]            | passed | 0.00082 seconds |
./spec/game_spec.rb[1:3:1]            | passed | 0.00012 seconds |
./spec/game_spec.rb[1:3:2]            | passed | 0.00004 seconds |
